actor_label,get_name
SM_StreetLamp_B4,StaticMeshActor_UAID_E08F4CF5208AC07502_1367258847
LandscapeStreamingProxy_4_11_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_4_11_0
BP_VehicleAI_taxi_2_3,BP_VehicleAI_taxi_C_UAID_E08F4CF5208A907A02_1634109753
LandscapeStreamingProxy_14_7_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_14_7_0
LandscapeStreamingProxy_5_12_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_5_12_0
BP_VehicleAI_pickup2,BP_VehicleAI_pickup_C_UAID_E08F4CF5208A827A02_1802539214
PlayerStart,PlayerStart_0
BP_VehicleAI_SUV2_8,BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A907A02_1587248679
BP_VehicleAI_taxi_1,BP_VehicleAI_taxi_C_UAID_E08F4CF5208A907A02_1587404692
Crosswalk6,StaticMeshActor_UAID_E08F4CF5208A9C7502_1853956535
LandscapeStreamingProxy_10_1_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_10_1_0
SFJ_2,StaticMeshActor_UAID_E08F4CF5208A377402_1371366678
Crosswalk16,StaticMeshActor_UAID_E08F4CF5208A9C7502_2048981547
Crosswalk1,StaticMeshActor_UAID_E08F4CF5208A9C7502_1611350530
Pickuptruck_7_VEHTAG1,StaticMeshActor_UAID_E08F4CF5208AA17502_1811511458
LandscapeStreamingProxy_2_14_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_2_14_0
BP_VehicleAI_taxi_2_2,BP_VehicleAI_taxi_C_UAID_E08F4CF5208A907A02_1587179673
Garbagetruck_4,StaticMeshActor_UAID_E08F4CF5208AA07502_1084024364
Bus_1_VEHTAG2,StaticMeshActor_UAID_E08F4CF5208AA17502_2102581470
LandscapeStreamingProxy_6_1_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_6_1_0
LandscapeStreamingProxy_3_12_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_3_12_0
Crosswalk12,StaticMeshActor_UAID_E08F4CF5208A9C7502_1954706542
LandscapeStreamingProxy_5_15_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_5_15_0
Crosswalk36,StaticMeshActor_UAID_E08F4CF5208A9D7502_1533822758
Crosswalk39,StaticMeshActor_UAID_E08F4CF5208A9D7502_1555880762
SM_White_Line_00_inst_8,StaticMeshActor_UAID_E08F4CF5208A9C7502_1391042522
BP_VehicleAI_SUV2_3,BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A8E7A02_1425455342
BP_VehicleAI,BP_VehicleAI_C_UAID_E08F4CF5208A207602_2123277737
SM_StreetLamp_B6,StaticMeshActor_UAID_E08F4CF5208AC07502_1314586845
Lamps3x7,StaticMeshActor_UAID_E08F4CF5208AC07502_1951823865
BP_VehicleAI_policecar_4_2,BP_VehicleAI_policecar_C_UAID_E08F4CF5208A8E7A02_1425598353
BP_VehicleAI_sportscar_5_1,BP_VehicleAI_sportscar_C_UAID_E08F4CF5208A907A02_1587329686
SM_White_Line_00_inst_7,StaticMeshActor_UAID_E08F4CF5208A9C7502_1340650521
SUV2_1_VEHTAG1,StaticMeshActor_UAID_E08F4CF5208AA17502_1811424427
LandscapeStreamingProxy_5_3_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_5_3_0
BP_VehicleAI_sportscar3,BP_VehicleAI_sportscar_C_UAID_E08F4CF5208A747602_1428487531
LandscapeStreamingProxy_13_8_0,LandscapeStreamingProxy_9WRX77ZHBNN64U7IVGH2O6PBO_126_13_8_0
